Gene	Gene synonym	Ensembl
TSPAN6	T245, TM4SF6, TSPAN-6	ENSG00000000003
TNMD	BRICD4, ChM1L, myodulin, TEM, tendin	ENSG00000000005
DPM1	CDGIE, MPDS	ENSG00000000419
SCYL3	PACE-1, PACE1	ENSG00000000457
C1orf112	FLJ10706	ENSG00000000460
FGR	c-fgr, p55c-fgr, SRC2	ENSG00000000938
CFH	ARMD4, ARMS1, FHL1, HF, HF1, HF2, HUS	ENSG00000000971
FUCA2	dJ20N2.5, MGC1314	ENSG00000001036
GCLC	GCS, GLCL, GLCLC	ENSG00000001084
NFYA	CBF-B, HAP2, NF-YA	ENSG00000001167
STPG1	C1orf201, FLJ33340, MAPO2	ENSG00000001460
NIPAL3	DJ462O23.2, NPAL3, SLC57A5	ENSG00000001461
LAS1L	FLJ12525, Las1	ENSG00000001497
ENPP4	AP3Aase, KIAA0879, NPP4	ENSG00000001561
SEMA3F	Sema4, SEMAK	ENSG00000001617
CFTR	ABC35, ABCC7, CF, CFTR/MRP, dJ760C5.1, MRP7, TNR-CFTR	ENSG00000001626
ANKIB1	DKFZP434A0225, KIAA1386	ENSG00000001629
CYP51A1	CP51, CYP51, CYPL1, LDM, P450-14DM, P450L1	ENSG00000001630
KRIT1	CAM, CCM1	ENSG00000001631
RAD52		ENSG00000002016
BAD	BBC2, BCL2L8	ENSG00000002330
LAP3	LAP, LAPEP, PEPS	ENSG00000002549
CD99	MIC2	ENSG00000002586
HS3ST1	3OST1	ENSG00000002587
AOC1	ABP, ABP1, DAO	ENSG00000002726
WNT16		ENSG00000002745
HECW1	KIAA0322, NEDL1	ENSG00000002746
MAD1L1	HsMAD1, MAD1, PIG9, TP53I9, TXBP181	ENSG00000002822
LASP1	Lasp-1, MLN50	ENSG00000002834
SNX11		ENSG00000002919
TMEM176A	HCA112, MS4B1	ENSG00000002933
M6PR	CD-M6PR, CD-MPR	ENSG00000003056
KLHL13	BKLHD2, FLJ10262, KIAA1309	ENSG00000003096
CYP26B1	P450RAI-2	ENSG00000003137
ICA1	ICA69, ICAp69	ENSG00000003147
DBNDD1	FLJ12582, MGC3101	ENSG00000003249
ALS2	ALS2CR6	ENSG00000003393
CASP10	FLICE-2, MCH4	ENSG00000003400
CFLAR	c-FLIP, CASH, CASP8AP1, Casper, cFLIP, CLARP, FLAME, FLIP, I-FLICE, MRIT	ENSG00000003402
TFPI	EPI, LACI, TFI, TFPI1	ENSG00000003436
NDUFAF7	C2orf56, MidA, PRO1853	ENSG00000003509
RBM5	H37, LUCA-15, LUCA15	ENSG00000003756
MTMR7		ENSG00000003987
SLC7A2	ATRC2, CAT-2, HCAT2	ENSG00000003989
ARF5		ENSG00000004059
SARM1	KIAA0524, SAMD2, SARM	ENSG00000004139
POLDIP2	DKFZP586F1524, PDIP38	ENSG00000004142
PLXND1	KIAA0620	ENSG00000004399
AK2		ENSG00000004455
CD38	cADPR1	ENSG00000004468
FKBP4	FKBP52, FKBP59	ENSG00000004478
KDM1A	AOF2, BHC110, KDM1, KIAA0601, LSD1	ENSG00000004487
RBM6	3G2, DEF-3, DEF3, g16, NY-LU-12	ENSG00000004534
CAMKK1	CAMKKA, DKFZp761M0423, MGC34095	ENSG00000004660
RECQL	RecQ1, RecQL1	ENSG00000004700
VPS50	CCDC132, DKFZp313I2429, FLJ20097, KIAA1861, VPS54L	ENSG00000004766
HSPB6	FLJ32389, Hsp20, PPP1R91	ENSG00000004776
ARHGAP33	FLJ39019, SNX26, TCGAP	ENSG00000004777
NDUFAB1	ACP, ACP1, FASN2A, SDAP	ENSG00000004779
